ID,NAME,FORMAT,TYPE,CITY,OPENING_DATE
100,100 - CND,CEN-DISTRIB,,GUAYAQUIL,
101,101 - GUAYAQUIL             ECC,FRESCOS,A,GUAYAQUIL,1994-09-10
103,103 - MERCADO               ECC,FRESCOS,A,GUAYAQUIL,1995-10-10
104,104 - MILAGRO               LZA,FRESCOS,A,MILAGRO,1995-05-10
105,105 - MALVINAS              ECG,FRESCOS,F,GUAYAQUIL,2007-05-11
107,107 - AMBATO                NGC,FRESCOS,A,AMBATO,1995-06-20
108,108 - CUENCA                RZC,FRESCOS,B,CUENCA,1995-08-10
109,109 - MACHALA               AMS,SUPERTIA,A,MACHALA,1996-01-10
110,110 - PORTOVIEJO            APC,SUPERTIA,B,PORTOVIEJO,
111,111 - QUEVEDO               KVZ,CONVENCIONAL,B,QUEVEDO,1995-05-11
114,114 - LOJA                  RYA,FRESCOS,B,LOJA,1994-10-11
115,115 - MANTA                 NZR,SUPERTIA,A,MANTA,1996-03-11
116,116 - OLMEDO                ECC,CONVENCIONAL,A,GUAYAQUIL,1997-04-28
117,117 - STO. DOMINGO          SCL,SUPERTIA,B,SANTO DOMINGO,1998-08-21
119,119 - ESMERALDAS            COV,SUPERTIA,A,ESMERALDAS,1998-12-05
120,120 - LA GARZOTA            CHM,FRESCOS,A,GUAYAQUIL,1998-12-12
121,121 - VENTANAS              KVZ,CONVENCIONAL,B,VENTANAS,1999-10-25
122,122 - DURAN                 JCJ,FRESCOS,A,DURAN,1999-11-25
123,123 - LOS SAMANES           NMC,CONVENCIONAL,B,GUAYAQUIL,2015-09-05
124,124 - RIOBAMBA              FYC,SUPERTIA,B,RIOBAMBA,1999-12-11
126,126 - EL GUASMO             EUV,FRESCOS,B,GUAYAQUIL,2000-10-31
128,128 - PASAJE                AMS,FRESCOS,A,PASAJE,2000-12-01
129,129 - CHONE                 MPG,FRESCOS,A,CHONE,2000-12-17
130,130 - LA LIBERTAD           FCA,SUPERTIA,B,LA LIBERTAD,2001-04-10
131,131 - EL EMPALME            KVZ,FRESCOS,B,EL EMPALME,2001-11-10
132,132 - EL CARMEN             SCL,CONVENCIONAL,B,EL CARMEN,2001-12-08
133,133 - BABAHOYO              KVZ,FRESCOS,A,BABAHOYO,2001-12-13
134,134 - SUPER QUEVEDO         KVZ,SUPERTIA,B,QUEVEDO,2002-11-28
135,135 - AMBATO II             NGC,FRESCOS,A,AMBATO,2012-12-07
136,136 - EL TRIUNFO            JIE,FRESCOS,B,EL TRIUNFO,2003-04-04
137,137 - SANTA ROSA            AMS,FRESCOS,B,STA. ROSA,2003-05-02
138,138 - LA TRONCAL            JIE,FRESCOS,B,LA TRONCAL,2003-06-13
139,139 - JIPIJAPA              APC,FRESCOS,B,JIPIJAPA,2003-08-15
140,140 - SANTA ELENA           FCA,FRESCOS,B,STA. ELENA,2003-08-20
141,141 - VINCES                KVZ,FRESCOS,B,VINCES,2003-12-04
142,142 - PLAYAS                EMA,SUPERTIA,B,PLAYAS,2003-12-13
144,144 - GOMEZ RENDON          ECC,FRESCOS,B,GUAYAQUIL,2004-02-13
146,146 - QUININDE              SCL,FRESCOS,B,QUININDE,2004-07-01
147,147 - ASSAD BUCARAM         TEC,TIA EXPRESS,A,GUAYAQUIL,2004-07-09
149,149 - DAULE                 PAM,SUPERTIA,A,DAULE,2004-07-30
151,151 - LOS GUAYACANES        NMC,FRESCOS,A,GUAYAQUIL,2004-10-01
152,152 - EL ARENAL             RZC,CONVENCIONAL,B,CUENCA,2004-10-29
154,154 - PUERTO LISA           ECG,TIA EXPRESS,A,GUAYAQUIL,2004-11-19
156,156 - ESMERALDAS II         COV,TIA EXPRESS,B,ESMERALDAS,2005-04-04
157,157 - BUENA FE              KVZ,CONVENCIONAL,C,BUENA FE,2005-04-10
158,158 - CALCETA               MPG,CONVENCIONAL,C,CALCETA,2005-07-15
159,159 - BALZAR                PAM,FRESCOS,B,BALZAR,2005-07-23
160,160 - CRISTO DEL CONSUELO   ECG,FRESCOS,A,GUAYAQUIL,2005-09-09
161,161 - SAN CAMILO            KVZ,CONVENCIONAL,C,QUEVEDO,2005-10-18
162,162 - PUYO                  FYC,FRESCOS,A,PUYO,2005-11-17
163,163 - LA CONCORDIA          SCL,FRESCOS,A,LA CONCORDIA,2005-11-12
166,166 - TIA MOVIL II          SCL,TIA EXPRESS,A,GUAYAQUIL,2016-06-16
167,167 - LA ALBORADA           CHM,SUPERTIA,A,GUAYAQUIL,2006-05-20
168,168 - URDESINGUE            JMG,FRESCOS,B,GUAYAQUIL,2006-06-16
169,169 - LOS ESTEROS           CGA,FRESCOS,A,GUAYAQUIL,2006-07-25
170,170 - DURAN II              JCJ,TIA EXPRESS,A,DURAN,2006-07-29
171,171 - MARTHA DE ROLDOS      ECC,FRESCOS,B,GUAYAQUIL,2006-09-02
172,172 - PASCUALES             CJE,SUPERTIA,A,PASCUALES,2006-10-28
173,173 - DURAN III             JCJ,CONVENCIONAL,B,DURAN,2006-11-11
174,174 - NARANJAL              JIE,CONVENCIONAL,B,NARANJAL,2006-11-25
175,175 - EL TREBOL             JMG,FRESCOS,A,GUAYAQUIL,2006-12-02
176,176 - BAHIA                 MPG,FRESCOS,B,BAHIA,2006-12-08
177,177 - PEDERNALES            SCL,CONVENCIONAL,B,PEDERNALES,2006-12-14
178,178 - GUARANDA              MVT,SUPERTIA,B,GUARANDA,2006-12-16
180,180 - PEDRO CARBO           PAM,FRESCOS,B,PEDRO CARBO,2007-03-16
181,181 - FLORESTA              EUV,FRESCOS,B,GUAYAQUIL,2007-05-04
182,182 - EL GUABO              AMS,FRESCOS,C,EL GUABO,2007-04-11
183,183 - SAMBORONDON           CJE,FRESCOS,A,SAMBORONDON,2007-07-13
184,184 - LA 29 Y PORTETE       TEC,CONVENCIONAL,B,GUAYAQUIL,2007-07-27
185,185 - ISLA TRINITARIA       CGA,FRESCOS,B,GUAYAQUIL,2007-08-17
186,186 - LAS ACACIAS           ECG,FRESCOS,B,GUAYAQUIL,2007-08-24
187,187 - MANTA II              NZR,FRESCOS,B,MANTA,2007-08-31
189,189 - EL GUASMO II          EUV,CONVENCIONAL,B,GUAYAQUIL,2007-12-07
191,191 - LA 23 Y LA Q          CGA,FRESCOS,B,GUAYAQUIL,2007-12-12
192,192 - LA 38 Y PORTETE       TEC,FRESCOS,B,GUAYAQUIL,2007-12-15
193,193 - EL RECREO DURAN       JCJ,FRESCOS,B,DURAN,2007-12-20
194,194 - NARANJITO             JIE,TIA EXPRESS,A,NARANJITO,2008-03-15
196,196 - SALITRE               CJE,FRESCOS,B,SALITRE,2008-05-02
197,197 - SAUCES V              CHM,TIA EXPRESS,A,GUAYAQUIL,2008-07-04
198,198 - SAUCES VI             CHM,TIA EXPRESS,A,GUAYAQUIL,2008-07-11
200,200 - CRD,CEN-DISTRIB,,QUITO,
202,202 - QUITO                 DGO,CONVENCIONAL,A,QUITO,1995-08-20
206,206 - LA ALAMEDA            DGO,FRESCOS,C,QUITO,2005-02-21
207,207 - AMBATO                NGC,FRESCOS,A,AMBATO,1995-06-20
212,212 - ATAHUALPA             LZT,FRESCOS,B,QUITO,1993-10-21
213,213 - 10-AGOSTO             DGO,CONVENCIONAL,B,QUITO,1993-10-21
217,217 - SANTO DOMINGO         SCL,SUPERTIA,B,SANTO DOMINGO,1998-08-21
218,218 - PARQUE INGLES         MPC,TIA EXPRESS,B,QUITO,2012-02-09
219,219 - ESMERALDAS            GRE,SUPERTIA,A,ESMERALDAS,1998-12-05
224,224 - RIOBAMBA              MVT,SUPERTIA,B,RIOBAMBA,1999-12-11
225,225 - MALDONADO             DGO,CONVENCIONAL,B,QUITO,2006-11-18
227,227 - IBARRA                JGC,SUPERTIA,A,IBARRA,2000-11-29
232,232 - EL CARMEN             SCL,CONVENCIONAL,B,EL CARMEN,2001-12-08
235,235 - AMBATO II             NGC,FRESCOS,A,AMBATO,2012-12-07
243,243 - MICHELENA             JCP,TIA EXPRESS,B,QUITO,
245,245 - CAYAMBE               JGC,CONVENCIONAL,B,CAYAMBE,2004-06-04
246,246 - QUININDE              GRE,FRESCOS,B,QUININDE,2004-07-01
248,248 - LATACUNGA             NGC,SUPERTIA,B,LATACUNGA,2004-07-23
250,250 - SOLANDA               LZT,SUPERTIA,B,QUITO,2004-08-28
253,253 - OTAVALO               JGC,FRESCOS,B,OTAVALO,2004-11-17
255,255 - COTOCOLLAO            MPC,FRESCOS,C,QUITO,2005-03-11
256,256 - ESMERALDAS II         GRE,TIA EXPRESS,B,ESMERALDAS,2005-04-04
262,262 - EL PUYO               MVT,SUPERTIA,A,PUYO,2005-11-17
263,263 - LA CONCORDIA          SCL,FRESCOS,A,LA CONCORDIA,2005-11-12
264,264 - SANGOLQUI             LRR,CONVENCIONAL,B,SANGOLQUI,2005-11-25
265,265 - MACHACHI              LRR,CONVENCIONAL,B,MACHACHI,2006-03-08
277,277 - PEDERNALES            SCL,CONVENCIONAL,B,PEDERNALES,2006-12-14
279,279 - MITAD DEL MUNDO       PFA,FRESCOS,A,QUITO,2007-02-16
288,288 - COMITE DEL PUEBLO     CSS,CONVENCIONAL,C,QUITO,2007-11-30
290,290 - CONOCOTO              LRR,FRESCOS,B,QUITO,2007-12-13
295,295 - POMASQUI              PFA,FRESCOS,B,QUITO,2008-04-04
299,299 - TOACAZO               LZT,FRESCOS,B,QUITO,2008-08-01
300,300 - LOS VERGELES          NMC,FRESCOS,B,GUAYAQUIL,2008-08-07
302,302 - TIA MOVIL I           SCL,TIA EXPRESS,A,GUAYAQUIL,2016-06-01
304,304 - LA 25 Y LA CH         ECG,CONVENCIONAL,C,GUAYAQUIL,2008-11-21
305,305 - PARAISO DE LA FLOR    JMG,FRESCOS,A,GUAYAQUIL,2008-12-12
306,306 - RICAURTE              KVZ,CONVENCIONAL,C,RICAURTE,2008-12-12
307,307 - PUERTO BOLIVAR        AMS,FRESCOS,B,MACHALA,2008-12-22
308,308 - MUCHO LOTE            NMC,SUPERTIA,B,GUAYAQUIL,2008-12-20
309,309 - BASTION POPULAR       JMG,SUPERTIA,B,GUAYAQUIL,2008-12-19
310,310 - LOS TULIPANES         EUV,TIA EXPRESS,A,GUAYAQUIL,2009-04-11
312,312 - CUENCA III            RZC,TIA EXPRESS,A,CUENCA,2009-07-10
313,313 - PORTOVIEJO II         APC,CONVENCIONAL,C,PORTOVIEJO,2009-08-21
315,315 - TOSAGUA               MPG,CONVENCIONAL,C,TOSAGUA,2009-12-10
316,316 - ATACAMES              COV,SUPERTIA,A,ATACAMES,2009-12-12
318,318 - TRINITARIA II         CGA,CONVENCIONAL,B,GUAYAQUIL,2010-09-03
320,320 - SUPERTIA BRISAS       EMA,SUPERTIA,A,GUAYAQUIL,2010-11-30
321,321 - ESMERALDAS-CODESA     COV,SUPERTIA,A,ESMERALDAS,2010-12-03
322,322 - MACAS                 FYC,FRESCOS,A,MACAS,2010-12-17
323,323 - EL GUASMO MATERNIDAD  EUV,TIA EXPRESS,B,GUAYAQUIL,2010-11-29
324,324 - EL RECREO II - DURAN  JCJ,TIA EXPRESS,B,DURAN,2010-12-28
326,326 - PELILEO               NGC,CONVENCIONAL,C,PELILEO,2011-04-26
327,327 - CASUARINA             JMG,SUPERTIA,B,GUAYAQUIL,2011-04-30
328,328 - PUERTO LOPEZ          FCA,FRESCOS,B,PUERTO LOPEZ,2011-05-04
330,330 - AZOGUES               RZC,CONVENCIONAL,C,AZOGUES,2011-05-14
333,333 - BELLAVISTA            EMA,TIA EXPRESS,A,GUAYAQUIL,2011-09-16
335,335 - MACHALA II            AMS,TIA EXPRESS,A,MACHALA,2011-10-21
336,336 - SUPER LABORAL         NGC,FRESCOS,A,AMBATO,2011-11-01
337,337 - LA MANA               KVZ,FRESCOS,B,LA MANA,2011-12-09
338,338 - PORTETE Y LA 8VA.     TEC,TIA EXPRESS,B,GUAYAQUIL,2011-12-15
339,339 - LIBERTAD II           FCA,FRESCOS,B,LA LIBERTAD,2011-12-22
342,342 - GUALACEO              RZC,FRESCOS,B,GUALACEO,2012-04-21
345,345 - MUCHO LOTE B          NMC,SUPERTIA,B,GUAYAQUIL,2012-04-14
347,347 - PILLARO               NGC,FRESCOS,A,PILLARO,2012-07-07
348,348 - PICHINCHA             KVZ,TIA EXPRESS,A,PICHINCHA,2012-08-04
349,349 - MANTA ESTEROS         NZR,CONVENCIONAL,C,MANTA,2012-08-17
353,353 - ESMERALDAS COLON      COV,TIA EXPRESS,A,ESMERALDAS,2012-11-23
354,354 - EL FORUM              ECC,TIA EXPRESS,A,GUAYAQUIL,2012-12-11
355,355 - STO. DOMINGO II       SCL,SUPERTIA,B,SANTO DOMINGO,2013-03-01
356,356 - LA 17 Y PORTETE       TEC,TIA EXPRESS,A,GUAYAQUIL,2013-05-31
357,357 - LOS ALAMOS            CHM,TIA EXPRESS,A,GUAYAQUIL,2013-07-05
358,358 - MANTA CUBA            NZR,FRESCOS,A,MANTA,2013-07-26
359,359 - MACHALA III           AMS,FRESCOS,A,MACHALA,2013-10-18
361,361 - YAGUACHI              LZA,FRESCOS,A,YAGUACHI,2013-10-12
362,362 - CATAMAYO              RYA,TIA EXPRESS,A,CATAMAYO,2013-10-23
363,363 - MILAGRO II            LZA,FRESCOS,A,MILAGRO,2013-12-13
364,364 - PLAZA DEL VALLE       RYA,FRESCOS,A,LOJA,2014-03-07
365,365 - MONTECRISTI           NZR,FRESCOS,A,MONTECRISTI,2014-05-04
366,366 - BUCAY                 LZA,FRESCOS,A,BUCAY,2014-05-07
367,367 - POSORJA               EMA,FRESCOS,A,GUAYAQUIL,2014-09-20
368,368 - LA 25 Y LA LL         ECG,FRESCOS,A,GUAYAQUIL,2014-08-23
369,369 - LA AURORA             CJE,SUPERTIA,A,DAULE,2014-10-15
370,370 - TERMINAL TERRESTRE    CHM,TIA EXPRESS,A,GUAYAQUIL,2014-10-31
371,371 - EL MAESTRO            CJE,SUPERTIA,A,GUAYAQUIL,2014-11-08
372,372 - SALINAS               FCA,FRESCOS,A,SALINAS,2014-12-12
373,373 - LA JOYA               CJE,SUPERTIA,A,GUAYAQUIL,
374,374 - NOBOL                 PAM,SUPERTIA,A,NOBOL,2015-10-24
377,377 - LA JOYA               CJE,SUPERTIA,A,DAULE,2015-04-18
378,378 - SAN VICENTE           MPG,FRESCOS,A,SAN VICENTE,2015-05-23
379,379 - YANTZAZA              RYA,SUPERTIA,A,YANTZAZA,2015-07-29
381,381 - SANTA LUCIA           PAM,FRESCOS,A,SANTA LUCIA,2016-01-29
382,382 - VALENCIA              KVZ,FRESCOS,A,VALENCIA,2016-05-14
385,385 - PALESTINA             PAM,FRESCOS,A,PALESTINA,2016-09-09
386,386 - ZAMORA                RYA,FRESCOS,F,ZAMORA,2016-10-14
389,389 - LOMAS DE SARGENTILLO  PAM,FRESCOS,B,LOMAS DE SARGENTILLO,2016-12-16
391,391 - PORTOVIEJO III        APC,FRESCOS,B,PORTOVIEJO,
392,392 - LOMAS DE LA FLORIDA   JMG,FRESCOS,B,GUAYAQUIL,2017-02-18
403,403 - GUAJALO               JCP,SUPERTIA,B,QUITO,2008-09-20
411,411 - TENA                  VTA,SUPERTIA,B,TENA,2009-05-08
414,414 - QUITO SUCRE           DGO,TIA EXPRESS,A,QUITO,2009-09-04
416,416 - ATACAMES              GRE,SUPERTIA,A,ATACAMES,2009-12-12
417,417 - CALDERON              CSS,FRESCOS,A,QUITO,2010-08-13
419,419 - ATUNTAQUI             JGC,FRESCOS,A,ATUNTAQUI,2010-09-17
421,421 - ESMERALDAS-CODESA     GRE,SUPERTIA,A,ESMERALDAS,2010-12-03
422,422 - MACAS                 MVT,SUPERTIA,A,MACAS,2010-12-17
426,426 - PELILEO               MVT,CONVENCIONAL,C,PELILEO,2011-04-26
429,429 - SALCEDO               NGC,FRESCOS,B,SALCEDO,2011-06-04
431,431 - COTACACHI             JGC,FRESCOS,A,COTACACHI,2011-08-06
434,434 - CUSUBAMBA             LZT,TIA EXPRESS,A,QUITO,2011-10-07
436,436 - SUPER LABORAL         NGC,FRESCOS,A,AMBATO,2011-11-01
440,440 - GUAMANI               JCP,FRESCOS,B,QUITO,2011-12-30
441,441 - AJAVI                 LZT,TIA EXPRESS,B,QUITO,2012-03-30
443,443 - EL COCA               VTA,SUPERTIA,B,EL COCA,2012-04-13
446,446 - TUMBACO               PFA,TIA EXPRESS,B,QUITO,2012-07-06
447,447 - PILLARO               NGC,FRESCOS,A,PILLARO,2012-07-07
450,450 - 06 DE DICIEMBRE       MPC,SUPERTIA,B,QUITO,2012-08-03
451,451 - LA ECUATORIANA        JCP,TIA EXPRESS,B,QUITO,2012-08-31
452,452 - CUMBAYA               PFA,FRESCOS,A,QUITO,2012-10-25
453,453 - ESMERALDAS COLON      GRE,TIA EXPRESS,A,ESMERALDAS,2012-11-23
455,455 - SANTO DOMINGO II      SCL,SUPERTIA,B,SANTO DOMINGO,2013-03-01
460,460 - MARTHA BUCARAM - UIO  JCP,TIA EXPRESS,B,QUITO,2013-10-26
473,473 - LA LUZ                MPC,SUPERTIA,B,QUITO,2011-10-01
474,474 - VENEZUELA             FVC,SUPERTIA,B,NO ASIGNADO,
475,475 - RIVERMALL             LRR,SUPERTIA,B,QUITO,2011-10-01
476,476 - CARAPUNGO             CSS,SUPERTIA,B,QUITO,2011-10-01
480,480 - EL COCA II            VTA,FRESCOS,B,EL COCA,2015-11-29
483,483 - ARCHIDONA             VTA,FRESCOS,B,ARCHIDONA,2016-07-29
484,484 - CHILLOGALLO           LZT,SUPERTIA,B,QUITO,2016-08-11
486,486 - ZAMORA                RYA,FRESCOS,B,ZAMORA,
487,487 - LAGO AGRIO            VTA,SUPERTIA,B,LAGO AGRIO,2016-10-28
488,488 - SAN ISIDRO DEL INCA   MPC,SUPERTIA,B,QUITO,2016-11-24
490,490 - SAN MIGUEL DE LOS BA  PFA,SUPERTIA,B,QUITO,2017-02-11
493,493 - ALAUSI                MVT,FRESCOS,B,ALAUSI,2017-03-23
700,700 - C.D.F.  GYE,CEN-DISTRIB,,GUAYAQUIL,
701,701 - C.D.F. SOLAND-FRU  BA,NO ASIGNADO,,QUITO,
702,702 - C.D.F. CARAPUNGO   BA,NO ASIGNADO,,QUITO,
703,703 - C.D.F. AMBATO      BA,NO ASIGNADO,,AMBATO,
767,767 - ,NO ASIGNADO,,NO ASIGNADO,
801,801 - LA LUZ                FVC,SUPERTIA,,QUITO,
802,802 - VENEZUELA             FVC,NO ASIGNADO,,QUITO,
803,803 - RIVERMALL             FVC,SUPERTIA,,QUITO,
804,804 - CARAPUNGO             FVC,SUPERTIA,,QUITO,
805,805 - EXPRESS AMAZONAS,NO ASIGNADO,,QUITO,
806,806 - CDF-CARAPUNGO      BA,NO ASIGNADO,,QUITO,
900,900 - OFICINA-GUAYAQUIL,OFICINA,,GUAYAQUIL,
902,902 - OFICINA-QUITO,OFICINA,,QUITO,
